Id,Prompt,Purpose,"Response (ChatGPT turbo3.5)","Response (Claude)",Score
"01","テストコードを正常系・異常系も含めて提示せよ。","変換","","",10
"02","テストコードを提示せよ。import unittest","変換","","",10
"03","クラスを使ってリファクタリングせよ。変更点を説明せよ。","","","",10
"04","mermaid記法でクラス図をかけ。","変換","","",10
"05","Stateデザインパターンを使ってリファクタリングせよ。段階的に出力せよ。","変換","","",10
"06","リファクタリングするうえで、最適なデザインパターンを考察せよ。","変換","","",10
"07","次の制約を満たすアルゴリズムを提案せよ。","変換","","",10
"08","コードレビューせよ。","変換","","",10
"09","違いを述べよ。","変換","","",10
"10","例示せよ。","変換","","",10
"11","変換せよ。","変換","","",10
"12","説明的な関数・変数名に変えよ。","リファクタリング","","",10
"13","可読性を向上せよ。","リファクタリング","","",10
"14","重複をなくし、可能であれば単一の機能またはクラスへ統合する方法を模索せよ。","リファクタリング","","",10
"15","適切なコメントを付記せよ。","リファクタリング","","",10
"16","Docstringを生成せよ。","リファクタリング","","",10
"17","潜在的な脆弱性をチェックせよ。そうでなければ修正せよ。","セキュリティ","","",10
"18","例外処理が適切か確認せよ。そうでなければ修正せよ。","セキュリティ","","",10
"19","論理完全性が満たされているか確認せよ。そうでなければ修正せよ。","セキュリティ","","",10
"20","企画書例を出力せよ。","ドキュメンテーション","","",10
"21","diagramsで構成図を出力せよ。","ドキュメンテーション","","",10
"22","スキーマをDBMLに変換せよ。","ドキュメンテーション","","",10
"23","DDDの思想に基づきクラスを設計せよ。","開発手法","","",10
"24","SQLAlchemyを用いて永続化せよ。","開発手法","","",10
"25","テストコードを満たすコードを生成せよ。","開発手法","","",10
"26","重要な順に説明せよ。","学習","","",10
"27","分解して説明せよ。","学習","","",10
"28","要求に最も適した回答を提示せよ。","API活用","","",10
"29","要約せよ。","API活用","","",10
"30","説明文は不要なので非表示せよ。","API活用","","",10
"31","","API活用","","",10
"32","","長文","","",10
"33","","Langchain","","",10
"34","","","","",10
"35","","","","",10
"36","","","","",10
"37","","","","",10
"38","","","","",10
