スマホ	智能手機	智能手机
タブレット	智能平板	智能平板
スキャン	掃碼/掃描	扫码/扫描
コード	代碼	代码
QRコード	二維碼	二维码
CG	三維	三维
スワイプ	拖動	拖动
パソコン	電腦	电脑
デスクトップパソコン	桌上電腦	桌上电脑
ノートパソコン	筆記本電腦	笔记本电脑
キーボード	鍵盤	键盘
ブラインドタッチ	盲打	盲打
マウス	鼠標	鼠标
クリック	點擊	点击
エンター	回車鍵	回车键
ディスプレイ	顯示器	显示器
ピクセル	像素	像素
イヤホン	耳機	耳机
ボタン	按鈕	按钮
スクリーン	屏幕	屏幕
センサー	傳感器	传感器
インターネット	網路	网路
サーバー	服務器	服务器
モデム	調製解調器	调制解调器
ルーター	路由器	路由器
HSS/HLR	歸屬用戶服務器	归属用户服务器
URL	網址	网址
ドメイン	域名	域名
ペアレンタルコントロール	家長控制	家长控制
スペック	能力	能力
タスクマネージャー	任務管理器	任务管理器
アプリケーション	應用程序	应用程序
アイコン	圖標	图标
ブラウザ	瀏覽器	浏览器
ページ	頁面	页面
タブ	標籤	标签
ソート	排序	排序
フィルター	篩選	筛选
フィルタリング	過濾	过滤
カテゴリ	範疇	范畴
ファイル	文件	文件
データ	數據	数据
アップロード	上傳	上传
ダウンロード	下載	下载
インポート	導入	导入
エクスポート	導出	导出
インストール	安裝	安装
アンインストール	卸載	卸载
ソフトウェア	軟件	软件
ハードウェア	硬件	硬件
アーカイブ	檔案	档案
フォルダ	文件夾	文件夹
デバイス	設備	设备
ディスク	光盤	光盘
ストレージ	儲存	储存
バックアップ	備份	备份
クラウド	雲端	云端
リセット	開端	开端
クリーン	清理	清理
デフォルト	預設	预设
インスタンス	副本	副本
ステータス	属性	属性
コピー	複製	复制
ペースト	粘貼	粘贴
UI	用户界面	用户界面
HDD	硬盤	硬盘
SSD	固態硬盤	固态硬盘
USB	串行總線架構	串行总线架构
フラッシュメモリー	快閃記憶體	快闪记忆体
リソース	資源	资源
フリーズ	死機	死机
スリープ	休眠	休眠
パワーオン	開機	开机
シャットダウン	關機	关机
メンテナンス	維護	维护
フレームレート	幀率	帧率
アドレス	通訊	通讯
ログイン	登錄	登录
アカウント	帳號	帐号
メールアドレス	郵箱地址	邮箱地址
パスワード	密保	密保
トークン	令牌	令牌
リンク	連結	连结
ソーシャルネットワークサービス	網站	网站
シェア	分享	分享
メッセージ	信息	信息
タイムライン	動態	动态
チャンネル	頻道	频道
ファックス	傳真	传真
アンテナ	天線	天线
コンソール	控制台	控制台
カスタマイズ	自定義	自定义
システム	系統	系统
ライセンス	執照	执照
セッティング	設定	设定
オプション	設置	设置
フレーム	骨架/框架	骨架/框架
トリミング	裁剪	裁剪
モバイルバッテリー	充電寶	充电宝
コンデンサ	調相機	调相机
グラフィックカード	顯卡	显卡
NVIDIA	英偉達	英伟达
ユニット	組件	组件
リチャージ	充電	充电
サブスクリプション	訂閱/流媒體	订阅/流媒体
スロット	插槽	插槽
オンライン	線上	线上
リモート	遠程	远程
ポータブル	便攜	便携
プロテクト	防護	防护
アクセス	進入	进入
セーブデータ	存檔	存档
ロード	加載	加载
テンプレート	模板文件	模板文件
プリセット	樣式	样式
エディット	編輯	编辑
コンポーネント	零件	零件
プロセス	流程	流程
プログラム	程序	程序
アルゴリズム	算法	算法
サポート	支持	支持
セキュリティ	安全保衛	安全保卫
フィードバック	反饋/反應	反馈/反应
バグ	程序錯誤	程序错误
デバッグ	調試	调试
パッチ	補丁	补丁
プログラミング	程式	程式
プラットフォーム	平台	平台
エンジン	引擎	引擎
アンチエイリアス	抗鋸齒	抗锯齿
テスト	測試	测试
マッチング	匹配/配對	匹配/配对
ハッキング	駭客	骇客
ハッカー	黑客	黑客
レンダリング	渲染	渲染
テクスチャ	紋理	纹理
エンコード	編碼	编码
カタログ	樣本	样本
パラメーター	參數	参数
タグ	標籤	标签
サルベージ	打撈	打捞
プロファイル	個人檔案	个人档案
アップデート	更新	更新
モーションキャプチャー	動作捕捉	动作捕捉
ビデオオンデマンド	點播	点播
3Dプリンター	三維打印機	三维打印机
カートゥーン	卡通	卡通
サンドボックス	沙盒	沙盒
NPC	非玩家角色	非玩家角色
プロゲーマー	電競選手 	电竞选手 
アーリーアクセス	搶先體驗版	抢先体验版
オークションサイト	二手網站	二手网站
ビジネス	商業	商业
メーカー	廠商	厂商
シンクタンク	智庫	智库
アジェンダ	議程	议程
エビデンス	證據	证据
コミット	說明	说明
コミットメント	保證/承諾	保证/承诺
アジャスト	掌控	掌控
アサイン	分配	分配
コンセンサス	共識	共识
フィックス	修理	修理
シナジー	協同效應	协同效应
ベネフィット	福利	福利
プライオリティ	優先	优先
ブラッシュアップ	提高	提高
プロダクト	產品	产品
イニシアティブ	主導地位	主导地位
サステナブル	長期保持	长期保持
リスキリング	重新技能	重新技能
リカレント	循環	循环
ダイバーシティ	多樣性	多样性
インキュベーション	創業育成	创业育成
ポリシー	方針	方针
アドボカシー	倡議	倡议
Eコマース	電子商務	电子商务
SDGs	永續發展目標	永续发展目标
NFT	非同質化代幣	非同质化代币
メタバース	元宇宙	元宇宙
ブロックチェーン	區塊鏈	区块链
FIRE	提前退休	提前退休
ポリコレ	政治正確	政治正确
レジデント	住客	住客
ベーシックインカム	無条件基本收入	无条件基本收入
インフレーション	通貨膨脹	通货膨胀
デフレーション	通貨緊縮	通货紧缩
デノミネーション	貨幣改革	货币改革
デバリュエーション	貶值	贬值
クラウドファンディング	群衆募資	群众募资
レペゼン	代言	代言
バイアス	偏誤	偏误
プライミング	起爆劑/炸彈/促發	起爆剂/炸弹/促发
ガイダンス	指導	指导
パイプオルガン	管風琴	管风琴
ボーカル	主唱	主唱
ペグ	旋鈕	旋钮
シンガーソングライター	創作歌手	创作歌手
サビ	高潮	高潮
ノイズ	噪聲	噪声
フレット	品	品
ミュート	悶音	闷音
コード	和弦	和弦
バッキング	伴奏	伴奏
ハーモニー	和諧	和谐
リズム	節拍	节拍
メトロノーム	節拍器	节拍器
チューニング	調音	调音
アレンジ	改編	改编
インディーズ	獨立樂隊	独立乐队
レシピ	食譜	食谱
レア	一分熟	一分熟
ミディアムレア	五分熟	五分熟
ミディアム	七分熟	七分熟
ウェルダン	十分熟	十分熟
サイダー	汽水	汽水
テキーラ	龍舌蘭	龙舌兰
カフェオレ	牛奶咖啡	牛奶咖啡
ジュース	果汁	果汁
スイーツ	甜點	甜点
コンソメ	蔬菜煮熟	蔬菜煮熟
ハーブティー	花草茶	花草茶
ハーブ	香草	香草
ステーキ	牛排	牛排
ポテト	薯角	薯角
ウインナー	香腸	香肠
インスタントラーメン	方便麵	方便面
ミネストローネ	意式濃菜湯	意式浓菜汤
ビーフシチュー	燉牛肉醬汁	炖牛肉酱汁
オムライス	蛋包飯	蛋包饭
ウスターソース	辣酱油	辣酱油
チューインガム	口香糖	口香糖
ゼリー	果凍	果冻
ラクトアイス	冰淇淋	冰淇淋
アイスクリーム	霜淇淋	霜淇淋
バーベキュー	燒烤	烧烤
ドリップ	適濾	适滤
テンパリング	調溫	调温
ムニエル	香煎	香煎
フォーク	叉子	叉子
スプーン	勺子/湯匙	勺子/汤匙
ジャム	果醬	果酱
ケチャップ	番茄醬	番茄酱
バター	黄油	黄油
クリーム	奶油	奶油
ホイップクリーム	淡奶油	淡奶油
ホットケーキ	松餅	松饼
カステラ	長崎蛋糕	长崎蛋糕
オーガニック	有機栽培	有机栽培
フリーズドライ	凍乾	冻干
フードコート	美食廣場	美食广场
レストラン	餐廳	餐厅
デリバリー	外賣	外卖
テイクアウト	打包	打包
カウンター	坐櫃台	坐柜台
デリバリー	外賣	外卖
コーディネート	服装搭配	服装搭配
ポンチョ	斗篷	斗篷
ブレスレッド	手鍊	手链
スカート	裙子	裙子
シャツ	襯衫	衬衫
タイツ	絲襪	丝袜
ブラジャー	乳罩	乳罩
ネイル	指甲	指甲
ピアス	耳環	耳环
チョーカー	項煉	项炼
リボン	緞帶	缎带
ウィッグ	假髪	假髪
ミサンガ	幸運手環	幸运手环
コスプレ	角色扮演/角色扮裝	角色扮演/角色扮装
ファッション	時尚	时尚
アクター	演員	演员
ジャージ	運動服/運動衫	运动服/运动衫
ウェディングドレス	婚紗	婚纱
ネグリジェ	睡衣裙	睡衣裙
パジャマ	睡衣	睡衣
ドレス	禮服	礼服
エプロン	圍裙	围裙
セーター	毛衣	毛衣
ショップ	生意	生意
ストラップ	掛	挂
マント	披風/斗蓬	披风/斗蓬
ベスト	背心	背心
ティアラ	頭飾	头饰
キーホルダー	鑰匙圈/鑰匙扣	钥匙圈/钥匙扣
ペンダント	吊墜	吊坠
アミュレット	護身符	护身符
ネクタイ	系領帶	系领带
ストッキング	襪子	袜子
ファンデーション	粉底液	粉底液
リング	鐐環	镣环
フリル	褶邉	褶邉
ダウン	羽絨	羽绒
ローブ	長袍	长袍
ウエストポーチ	腰包	腰包
ランドセル	書包	书包
ポケット	兜囊	兜囊
ハンカチ	紅綃/手帕	红绡/手帕
パンツ	褲衩	裤衩
フード	兜帽	兜帽
タオル	毛巾	毛巾
ロット	魚竿	鱼竿
アロマ	熏香	熏香
リップクリーム	唇膏	唇膏
モニター	試用者	试用者
ハンドメイド	手工	手工
インテリア	裝飾品	装饰品
フォーマル	正式服装	正式服装
アベック	情侣	情侣
クローゼット	衣柜	衣柜
クローク	衣帽櫃	衣帽柜
