category,keyword(jp),keyword
ポーズ・構図,1人の女の子,1girl
ポーズ・構図,6人以上の女の子,6+girls
ポーズ・構図,見下ろす,looking down（from belowで上から見下ろすになる）
ポーズ・構図,見上げる,looking up（from aboveで下から見上げるになる）
ポーズ・構図,3P,threesome（そのままは出ないけど、構図が変化する）
ポーズ・構図,身長差,height difference（2girlsではダメ。1girl and 1boyならOK）
ポーズ・構図,水遊び,wading
ポーズ・構図,水に浸かる,partially submerged
ポーズ・構図,水に浮かんでいる,afloat
ポーズ・構図,シルエット,silhouette
ポーズ・構図,頭をフレーム外へ,head out of frame
ポーズ・構図,足をフレーム外へ,feet out of frame
ポーズ・構図,一人称視点、手あり,pov hands（povだけでは✕、legsも✕）
ポーズ・構図,野外露出,public indecency
ポーズ・構図,〇〇に入っている,in container ○○（段ボール箱等）
ポーズ・構図,足を水に浸す,soaking feet
ポーズ・構図,パースの強い画角,perspective（クセが強い、破綻しやすい、ランダム性が強い）
ポーズ・構図,一点透視図法,vanishing point（精度低め。二点透視図法になったことはない）
ポーズ・構図,特性接続,trait connection（girl sandwichと似た構図になるが、少し異なる）
ポーズ・構図,胸囲の格差社会,breasts envy（胸を羨望している構図は出るが、胸の大きさは同じなので意味がわからない構図になる。胸の大きさが変更出来るプロンプトがあれば化けそう）
ポーズ・構図,見てる人を狙う（カメラ目線で銃を向ける）,aiming at viewer
ポーズ・構図,逃げる,fleeing（動きのある絵になる）
ポーズ・構図,小人視点,foreshortening
ポーズ・構図,コントラポスト、自然な立ち姿,contrapposto
ポーズ・構図,抱きまくらっぽい感じ,dakimakura
ポーズ・構図,ファイティングポーズ,fighting stance
ポーズ・構図,自撮り,selfie
ポーズ・構図,ガラス越し,through glass / against glass
ポーズ・構図,エクササイズ,exercise（服装、ポーズが運動系になる）
ポーズ・構図,ストレッチポーズ,stretching
ポーズ・構図,歌っている,singing
ポーズ・構図,蹴る,kicking
ポーズ・構図,踊っている,dancing
ポーズ・構図,パンチ,punching（boxing glovesをundesired contentに入れる）
ポーズ・構図,胎児のポーズ,fetal position（足が崩れやすい）
ポーズ・構図,乳合わせ,symmetrical docking
ポーズ・構図,向き合う,asymmetrical docking
ポーズ・構図,見つめ合う,eye contact
ポーズ・構図,顔を向かい合わせ,face to face / heads together
ポーズ・構図,馬乗り,straddling
ポーズ・構図,うつ伏せ,on stomach
ポーズ・構図,四つん這い,all fours
ポーズ・構図,土下座,prostration
ポーズ・構図,拘束,restrained
ポーズ・構図,おんぶ,piggyback（位置はあってるが、四肢が崩れやすい）
ポーズ・構図,たくし上げ,clothes lift / shirt lift / skirt lift / sweater lift / lifted by self / dress lift
ポーズ・構図,お尻を突き出す,doggystyle
ポーズ・構図,お尻を突き出す,doggystyle
ポーズ・構図,ジャックオーチャレンジ,top down bottom up（jack-o_challengeは✕）
ポーズ・構図,I字ポーズ,standing split
ポーズ・構図,壁と向き合って,against wall
ポーズ・構図,背中合わせ,back to back
ポーズ・構図,食べさせる,feeding（2人いないと✕）
ポーズ・構図,寝る,sleepy / zzz（sleepy推奨。zzzは起きてる）
ポーズ・構図,リクライニング,reclining（ちょっと微妙かも？）
ポーズ・構図,カード遊び,playing card
ポーズ・構図,敬礼,salute
ポーズ・構図,緊縛,bound / bondage / breast bondage / shibari
ポーズ・構図,槍を手に握っている,polearm
ポーズ・構図,体育座り,knees up
ポーズ・構図,髪が肩にかかる構図,hair over shoulder
ポーズ・構図,髪をかきあげる,hand on own face
ポーズ・構図,手を頭に当てる,hand in own hair
ポーズ・構図,髪をいじっている、結いている,adjusting hair / tying hair
ポーズ・構図,頭なでなで,headpat
ポーズ・構図,帽子を触る,adjusting headwear
ポーズ・構図,髪に手をいれる,hands in hair
ポーズ・構図,手をポケットに入れる,hands in pockets
ポーズ・構図,前屈み,leaning forward
ポーズ・構図,屈む,squatting
ポーズ・構図,深く前屈み,bent over
ポーズ・構図,背中から抱きつく,hug from behind
ポーズ・構図,シーツで隠れている,under covers
ポーズ・構図,口から血が出る,blood from mouth（口以外にも血の描写が波及する）
ポーズ・構図,メガネを直す,adjusting eyewear
ポーズ・構図,枕を抱く,pillow hug
ポーズ・構図,横たわっている,on side（lyingより向きが一律？）
ポーズ・構図,にゃんにゃん、がおーポーズ,claw pose（爪が生えるのでUndesired Contentにclawを入れる）
ポーズ・構図,ピース,peace sign
ポーズ・構図,手をつなぐ,holding hands
ポーズ・構図,手をつく,arm support
ポーズ・構図,両手を広げる,outstretched arms
ポーズ・構図,ぬいぐるみを抱く,stuffed toy / stuffed animal
ポーズ・構図,握りこぶし,clenched hand
ポーズ・構図,手をぎゅっと握る,interlocked fingers
ポーズ・構図,シーッ,index finger raised
ポーズ・構図,指差し系,pointing (at viewer / up / at self / another / forward / weapon / down / sword / to the side)
ポーズ・構図,（胸の前で）両手を握る,own hands together
ポーズ・構図,指を舐める,finger to mouth
ポーズ・構図,太ももの間に手を入れる,between legs
ポーズ・構図,手を後ろに回す構図,arm behind back
ポーズ・構図,顔を手で覆う,hand over own mouth
ポーズ・構図,腕組み,crossed arms
ポーズ・構図,外側に手を広げる,outstretched hand
ポーズ・構図,何かを抱いている,object hug
ポーズ・構図,腕を広げる,spread arms
ポーズ・構図,手を帽子に,hand on headwear
ポーズ・構図,キス待ち,imminent kiss
ポーズ・構図,サムズアップ,thumbs up
ポーズ・構図,顎に手をかざす,hand on own chin
ポーズ・構図,手を頬に,hand on own cheek
ポーズ・構図,頬と頬を寄せ合う,cheek to cheek
ポーズ・構図,机の上に胸を置く,breasts rest on table
ポーズ・構図,腰に手を当てる,hands on hips
ポーズ・構図,尻尾が上がる,tail raised
ポーズ・構図,腕に抱きつく,arm hug
