phrase,means
会うは別れの始め,出会うものは必ずいつか別れるものだということ
青菜に塩,青菜よりも塩の方が強い味わいであること
秋の扇,秋の日の暑さは、一瞬で終わってしまうこと
秋の日は釣瓶落とし,秋の日差しが釣瓶のように長く降り注ぐこと
悪事千里を走る,悪いことは広く知られるものであること
麻の中の蓬,同じ場所にある蓬のように、見つけにくいものであること
頭の上の蝿も追えぬ,自分自身を守ることができないほど、身の回りに問題が山積していること
悪貨は良貨を駆逐する,粗悪な商品が存在すると、優れた商品が淘汰されてしまうこと
圧巻,見る者を圧倒するような素晴らしいものであること
羹に懲りて膾を吹く,失敗をしても、すぐにはあきらめずに再度挑戦すること
後足で砂を掛ける,嫉妬や妬みをすること
後の祭り,すでに手遅れで何もできないこと
痘痕も靨,過去に受けた傷や傷跡も、時間がたてば忘れられるものであること
危ない橋を渡る,危険を承知で挑戦すること
虻蜂取らず,どちらかと言えば、一方を選択することができない状況であること
雨垂れ石を穿つ,継続的に行うことが大事で、小さなことでも継続することが大事であること
網呑舟の魚を漏らす,大きな成功を掴むために、小さな失敗を許すことが必要であること
雨降って地固まる,逆境を経験することで、より強くなれること
鮑の片思い,片方が熱烈に愛している状況であること
鞍上人なく鞍下馬なし,巧みに馬を乗り回し、乗り手と馬とが一体になっていること
井戸の中の石けんで顔を洗う,一所懸命やったが、かえって悪くなってしまうこと
蛙の子は蛙,親子は似たもの同士であるということ
蛙の面に水,落ち着いているように見えて内心ではかなり緊張していること
からくり,手順や仕掛けが秘密にされているものや、その仕組みを理解しないと操作できないもの
唐突に,予想外のことが突然起こること
瓢箪から駒が出る,予想外のものが出てくること
黄金比,美的に見える割合のこと。黄金比率に従って構成されたものは美しいとされる
今日の風は昨日の風のよう,世の中は常に移り変わっているということ
鉄は熱いうちに打て,物事を進めるには好機を逃さずに行動することが大事
月とすっぽん,価値の相違により、交換の難しいもの同士のこと
猫に小判,価値がある物を、価値がわからない人に渡してしまうこと
目から鼻へ抜ける,簡単に覚えたり理解したりすること
目は口ほどに物を言う,人の表情や目つきが、本音や気持ちを表していること
門前市を楽しむ,目先の楽しみに没頭し、本質的なものを見落とすこと
木を見て森を見ず,細部にこだわりすぎて全体の見通しを失うこと
杞憂,根拠がないのに、心配しすぎること
口は災いの元,口に出す言葉が問題を引き起こすことがあるということ
黒子のように,顔立ちや体型などに変化がなく、変わらない様子を表す表現
子を持って知る親の恩,自分が親になると、自分が親に受けた恩を実感することができるということ
御輿を担ぐ,人のために尽力すること
金科玉条,信頼に値する大切な事柄
石が流れて木の葉が沈む,自然の摂理に逆らうことはできない
石に漱ぎ流れに枕す,磨き込んだ技術や知識は自然の中で役に立つことがある
石の上にも三年,一つの場所にとどまっていると何かを成し遂げることができる
石橋を叩いて渡る,事前に備えておくことは大切である
医者の不養生,医者自身が健康でなければ、患者を治すことはできない
交喙の嘴,異なる立場や考え方を持つ人々が互いに利益を得ることができる
急がば回れ,焦らず慎重に行動すれば、時間を無駄にせずに済むことがある
鼬の最後っ屁,最後に一番良くないことが起こることをいう
鼬の道切り,自分勝手な行動が他人に迷惑をかけることをいう
一言以ってこれを蔽う,一言で全てをまとめることができる
一事が万事,一つのことをよくすれば、全体が良くなることをいう
一字千金,一字一字が非常に大切であることをいう
一難去ってまた一難,困難を乗り越えたと思ったら、次の困難が待ち受けていることをいう
一葉落ちて天下の秋を知る,一部分から全体を判断することができる
一挙両得,一つの行動で二つの利益を得ることができることをいう
一刻千金,時間が非常に大切であることをいう
一刻千秋,時間が非常に長く感じられることをいう
一将功成りて万骨枯る,一人の功績によって多くの人々が恩恵を受けることがある
一寸先は闇,事態が一変する可能性があることをいう
一寸の光陰軽んずべからず,短い時間でも無駄にしてはいけないことをいう
一寸の虫にも五分の魂,
一斑を以って全豹を卜す, 立派な部分から全体を判断すること
鷸蚌の争い, 双方が利益を争い合って、結局共倒れになること
乙夜の覧, 二十四節気の一つで、秋の夜長に芸能を楽しむこと
犬と猿, 互いに仲が悪いこと
犬の遠吠え, 他の犬に呼応して遠くで鳴くこと
犬も歩けば棒に当たる, どんな人でも失敗することがある
命あっての物種, 生きるためには何でもすることができる
井の中の蛙大海を知らず, 狭い世界しか知らないこと
衣鉢を伝う, 弟子が師匠の衣服を継ぐこと
韋編三度絶つ, 何度でも挑戦すれば成功することができる
鰯の頭も信心から, 努力すればどんな人でも成功することができる
言わぬが花, 言わない方がいいこともある
殷鑑遠からず, 過去の事例から学ぶことができる
魚心あれば水心, 同じ考えを持っている人と仲良くできる
牛に引かれて善光寺参り, 周りの影響で行動すること
牛は牛連れ, 仲間同士がつるんでいることが多い
氏より育ち, 血筋よりも育った環境が大切であること
牛を馬に乗り換える, やり方を変えることで、効果的に問題を解決できることがある
嘘から出た実, 嘘の中にも真実があることがある
嘘も方便, 必要に応じて嘘をつくことがある
独活の大木, 努力して成し遂げた成果が大きいこと
鵜の真似をする烏, 上手くまねることができる
鵜の目鷹の目, 一緒に見ても、見るものが違うこと
馬の耳に念仏, 相手が全く聞き入れないこと
売り言葉に買い言葉, 言葉が戻ってくること
瓜の蔓に茄子は生らぬ,異なるもの同士は結びつかない
噂をすれば影が射す,うわさ話をすると本当のことが明らかになる
雲泥の差,比べ物にならないほど差があること
易簀,手続きが簡単であること
得手に帆を揚げる,物事が順調に進み、成功すること
江戸の仇を長崎で討つ,手柄を立てたい気持ちから、本来の目的を忘れること
蝦で鯛を釣る,小さな手段で大きな成果を上げること
遠交近攻,遠い国や地域とは友好関係を築き、近くの敵とは戦うこと
猿猴月を取る,不可能なことを実現すること
燕雀安んぞ鴻鵠の志を知らん,身分の低い人々でも、自分たちなりの目標や志があること
偃鼠河に飲めども腹を満たすに過ぎず,量より質の重要性を示すことわざ
縁の下の力持ち,影で支える力がある人
傍目八目,第三者の目から見た方が、自分自身で判断するよりも適切な判断ができること
奥歯に物が挟まる,困難な状況や悩み事に直面すること
驕る者久しからず,自慢や傲慢な態度を取ると、その者は長く続かない
小田原評定,物事に悩んでいる最中に、他の問題が発生すること
同じ穴の狢,共通の悪事を働く仲間や共犯者
同じ釜の飯を食う,共に苦労し、同じ困難を共有する仲間
鬼が出るか蛇が出るか,予測不可能で危険な状況
鬼が笑う,極めて難しい状況や非現実的な状況
鬼に金棒,強力な援助や手助けがあることで、本来は非力な者が強くなること
鬼の居ぬ間の洗濯,悪者がいない隙間を利用して物事を進めること
鬼の首を取ったよう,非常に難しい課題や相手に成功すること
鬼の念仏,非常に困難な状況でも、努力や精進が必要であること
鬼の目にも涙,強靭な者でも感情や弱さを持っていること
鬼も十八番茶も出花,驚くような出来事や逸話が現れること
帯に短し襷に長し,物事には得手不得手があり、得意な分野と不得意な分野があること
溺れる者は藁をも掴む,絶望的な状況にある者はどんな小さな手立てでも助けを求めること
親の心子知らず,親と子供は性格や好みが異なり、予測が難しいこと
親の光は七光り,親の影響やコネクションによって、子供が恩恵を受けること
女賢しうて牛売り損なう,女性が賢明であるが故に、機会を逃すこと
女三人寄れば姦しい,女性が集まると陰謀や悪事が起こること
